location,lat,lon,rosenka_value
松戸市,35.7873,139.9026,12.5
松戸市中金杉1丁目,35.7873,139.9026,12.5
松戸市中金杉１丁目,35.7873,139.9026,12.5
松戸市小金原2丁目,35.7991,139.9486,12.5
松戸市新松戸南1丁目,35.8125,139.9157,12.5
松戸市新松戸南１丁目,35.8125,139.9157,12.5
松戸市牧の原1丁目,35.7748,139.9742,12.5
松戸市牧の原１丁目,35.7748,139.9742,12.5
柏市,35.8677,139.9750,15.0
市川市,35.7226,139.9306,18.0
市原市,35.4978,140.1162,8.5
我孫子市,35.8647,140.0292,11.0
船橋市,35.6947,139.9840,20.0
習志野市,35.6806,140.0269,22.0
流山市,35.8560,139.9026,14.0
八千代市,35.7227,140.0996,13.0
浦安市,35.6544,139.9017,25.0
鎌ケ谷市,35.7767,140.0012,12.0
